MUNICÍPIO,UNIDADE,ENDEREÇO,BAIRRO,TELEFONE
BARRETOS,UNIDADE BASICA DR JOSE PARASSU CARVALHO,Av Ibirapuera 3168,Ibirapuera,(17) 33244233
BARRETOS,UBS Dr Paulo Prata,Rua C-20 nº 478,- Cristiano Carvalho -,(17) 33252677
BARRETOS,UBS Dr Sergio Pimenta,Av. 53 1205 CEP: 14087-470,Marília,(17) 33252830
BARRETOS,UBS Dr Wilson Haek Saigh,Al Dep Eloy Chaves s/n,Cecap I,(17)33242426
BARRETOS,UBS Loftallah Miziara,R. João Luís da Silva 549,Zequinha Amêndola,Tel: (17)33224754
BARRETOS,USF Dr Francolino Galvao de Souza,R Sf 6 1156,São Francisco,(17) 3322-5145
BARRETOS,USF Nova Barretos,Alameda Líbano 1050,City Barretos,(17)33257233
BARRETOS,USF Luiz Spina,Rua João Jacinto da Silva 1150,Soares Jd,(17) 3323-4356
BASTOS,Centro de Saude II DR Irineu Buller de Almeida,Rua Dezoito de Junho nº461,Alto Cafezal,(14) 3478-1059
BARRETOS,DR BARTOLOMEU MARAGLIANO VENERE,Rua 1º DE MAIO S/N,DERBY CLUB,(17) 3324-2060
BATATAIS,ESF III DE BATATAIS,Prc Santa Luzia S/N,Vila Santa Luzia Batatais,(16) 3662-8642
BATATAIS,UBS CECAP II DR LUIS CANDIDO ALVES DE BATATAIS,Praça Aristides Nogueira Braga S/N,Altino Arantes,(16) 3662-1422
BAURU,Serviço de Orientação e Prevenção do Câncer - SOPC,Rua Manoel Bento Cruz 11-26,Centro,(14) 3218-9086 / (14) 3223-1576
BAURU,CAPS AD III INFANTO-JUVENIL,RUA AZARIAS LEITE 1328,CENTRO,(14)3222-3937
BAURU,CENTRO DE ATENÇÃO PSICOSSOCIAL CAPS AD,RUA DR LISBOA JUNIOR 266 -,CENTRO,(14)3227-3287
BEBEDOURO,E S F DR SALIM BONEMER FILHO,Rua José Bergantini 247,Jardim Laranjeiras,(17) 3343 94 34
BEBEDOURO,ESF Dr Pedro Marinho de Mello Junior,RUA OSWALDO GARRIDO,RES CENTENARIO,Tel: (17) 3345-3679
BEBEDOURO,ESF 6 - Jd Claudia II,R Elias Nemers/nº,Res Rassim Dibe- Bebedouro,Tel: (17) 3343-9435
BEBEDOURO,E S F DR OSWALDO DAMIAN DE OLIVEIRA,RUA DAS PASSIONISTAS 463,PRQ RES SANTO ANTO,(17) 3343-5116
BEBEDOURO,ESF Dr Gerolino José de Souza,Rua Jose Bergantini,Jardim Laranjeiras,(17)3343-9434
BEBEDOURO,ESF Dr João Cambauva,RUA ANTONIO PAGANELLI 129,JD AEROPORTO,(17) 3343-7714
BEBEDOURO,ESF Dr João Carlos Galhardo,Rua Antônio Gomes  1135,Res União,(17) 3343-1902
BEBEDOURO,ESF Dr José Caui Campello Bessa,Alameda Canavieiras s/n,Residencial Rassim Dibe,(17)3343-9435
BEBEDOURO,ESF Dr José Mauro Neto,R Palmares,Jardim Três Marias,(17) 3342-8018
BEBEDOURO,ESF Dr Mauro Burjaili,Rua Nagib Miguel Burjaili s/n,Distrito de Botafogo,Tel: (17) 3342 62 97
"BEBEDOURO,ESF Dr Ulisses de Carvalho,"" Rua Augusto Carvalho  260 "",Jd Alvorada,(17) 3342-4267"
BERNARDINO DE CAMPOS,CS II Bernardino de Campos,R Agenor Camargo de Lima 11,Centro,(14) 3346-1164
BILAC,UBS Bilac,R VICENTE FELICIO PRIMO 384,CENTRO,(18)3659-1239
BIRIGUI,AMBULATORIO DE SAUDE MENTAL DR ARTUR CORDEIRO,Avenida João Cernach 2360,Centro,(018)3642-6077
BIRIGUI,UBS II MARIA LORENZETTI BRAIDOTTI TOSELAR BIRIGUI,RUA DR LUIZ TOLEDO PIZA SOBRINHO N° 574,RESIDENCIAL ALVORADA,(18) 3644-6652
BIRIGUI,UBS V LUIZ SALMERON LOPES SANTO ANTONIO BIRIGUI,RUA ITORORO N° 210,JARDIM ICARAY,(18) 3642-3060
BIRIGUI,UBS VI ANGELO MASTELARO TIJUCA BIRIGUI,RUA JOÃO DE SOUZA SUZANO N° 116,TIJUCA,(18) 3644-6447
BIRIGUI,UBS IV ESPERANCA RODRIGUES DE OLIVEIRA COSTA RICA,RUA BRAZ SANCHES ARRIAGA N° 1448,JARDIM COSTA RICA,(18) 3644-9009
BOITUVA,POLICLINICA MUNICIPAL DR BENEDITO ALVES DE LIMA NETO,RUA JOÃO MARCON 275,CENTRO,(15) 3363-1195
BOA ESPERANÇA DO SUL,USF VISTA VERDE BOA ESPERANCA DO SUL,RUA DOS MESSI 793,JARDIM VISTA VERDE,(16) 3326-4027
BOM JESUS DOS PERDÕES,Unidade Mista de Saúde Dr. José Orlando Siqueira Borgatto,R. Doná Bárbara Cardoso 20,CENTRO,(11) 4012-1053
BORÁ,CENTRO DE SAUDE DE BORA,Rua João Merci 150,CENTRO,(18) 3367-1114
BORBOREMA,ESF Vila Hermes,Rua Octavio Luis Torres 04,Vila Hermes,(16) 3266-1069
"BOTUCATU,Hosp. Das Clinicas de Botucatu,""Av. Professor Mário Rubens Guimarães Montenegro s/n (UNESP Campus-Botucatu) "",UNESP Campus-Botucatu,(14) 3811-6000"
BOTUCATU,UBS Edmundo de Oliveira,Rua Rafael Sampaio 58,Boa Vista,(14) 3814-2022
BRAGANCA PAULISTA,CAPS AD,AV JUSCELINO K DE OLIVEIRA,MATADOURO,(11) 4035-5040
BRAGANCA PAULISTA,UBS SANTA LUZIA,RUA JULIETA LEME DE SIQUEIRA,SANTA LUZIA,4034-5031
BRAGANCA PAULISTA,EACS Dr. Pedro Megale,Avenida Roberto Simonsen 71,Vila Garcia,4034-5033
"BRAGANCA PAULISTA,ESF ""Dr Celio Gayer"",Rua Pedro Cioban 23,Planejada I,4031-4192"
"BRAGANCA PAULISTA,ESF ""Dr Ernesto Porto de Almeida"",Rua Máximo Bertolini 75,Jardim São Miguel,4034-5026"
"BRAGANCA PAULISTA,ESF ""Dr. José Ribeiro Parente"",Rua Antonio Luppe 209,Jardim Iguatemi,4033-0982"
BRAGANCA PAULISTA,ESF HIPICA JAGUARI,RUA SANTI JOANNI BAPTISTA 200,RES HIPICA JAGUARI,(11)4031-5030
BRAGANCA PAULISTA,ESF Vila Bianchi,Praça Conego Francisco Claro De Assis,Vila Bianchi,(11) 4035-4871
BRAGANCA PAULISTA,PSF Vila Davi I,Rua Sebastiao Cicero Franco 319,Vila David,(11) 4034-1136
BRAGANCA PAULISTA,Unidade Estrategica de Agentes Comunitario de Saude - Dr. Roberto Olivalves,Rua Valéria Lima Rodrigues 114,Vila Batista,4033-8331
BRAGANCA PAULISTA,UBS VILA APARECIDA,RUA ANTONIO DE LIMA 365,JARDIM COMENDADOR CA,(11) 4035-5025
BRAGANÇA PAULISTA,ESF Agua Comprida,Rodovia Padre Aldo Bolini km 70 cep:12913-500,AGUA COMPRIDA,(11) 4035-5065_
BRAGANÇA PAULISTA,ESF SAO FRANCISCO DE ASSIS,AV JOAO RUBENS VALE 648,JD AGUAS CLARAS,NÃO INFORMADO
BRAGANÇA PAULISTA,Esf Toro,Praça Pastor Izaias Tiofilo Pereira s/n,RECANTO MARANATA,(11) 4035-5034_
BRAGANÇA PAULISTA,ESF Agua Comprida,Rodovia Padre Aldo Bolini km 70,AGUA COMPRIDA,(11) 4035-5065_
BRAGANÇA PAULISTA,ESF AGUA CLARA I,AV. ANTONIO PIERROT S/N,JARDIM AGUA CLARA,(11) 4035-0955_
BRAGANÇA PAULISTA,ESF CASA DE JESUS,JOSE DOMINICE 681,JARDIM DO CEDRO,(11) 4035-5041_
BRAGANÇA PAULISTA,ESF CDHU Saada Nader Abi Chedid,Rua Vicente Talamino 27,CONJ HABITACIONAL SA,(11) 4603-1008_
BRAGANÇA PAULISTA,CS I DR LOURENCO QUILICCI,Rua Dona Carolina S/N,LAVAPES,(11) 4034-6550_
BRAGANÇA PAULISTA,ESF HENEDINA RODRIGUES CORTEZ,ALAMEDA WANDERLEY TORRICELLI S/N,NUCLEO RESID HENEDI,(11) 4032-3421_
BRAGANÇA PAULISTA,ESF MADRE PAULINA JARDIM DA FRATERNIDADE,Rua Francisco Lido Vito 185,JD. Fraternidade,(11) 4031-5030_
BRAGANÇA PAULISTA,CMO Morro Grande da Boa Vista,Estrada Liberato Fortini S/N,CENTRO,(11) 4035-0591_
BRAGANÇA PAULISTA,ESF Nilda da Silva Colli,Rua Elias Berbari s/n,NUCLEO HABITACIONAL,(11) 4034-5036_
BRAGANÇA PAULISTA,ESF Parque dos Estados I,Rua Eriberto Cursi S/N,PARQUE DOS ESTADOS,(11) 4031-3894_
BRAGANÇA PAULISTA,ESF PARQUE DOS ESTADOS II,AV: Nossa Senhora da Conceição 195,Planejada I,(11) 4031-5228_
BRAGANÇA PAULISTA,ESF PLANEJADA I,RUA AGOSTINHO ROSA 240,CIDADE PLANEJADA II,(11) 4031-5027_
BRAGANÇA PAULISTA,EACS SAO VICENTE,AV. SÃO VICENTE DE PAULA 265,JARDIM RECREIO,(11) 4035-5032_
BRAGANÇA PAULISTA,CMO Birica do Valado,Estrada Antonia de Souza Moreno S/N,BITIÇA DO VALADO,(11) 4034-9004
BRAÚNA,UBS III DE BRAUNA,RUA JOSE FERNANDES BRAZ 302,CENTRO,(18)3692-1186
BREJO ALEGRE,UBSF III TANCREDO NEVES BREJO ALEGRE,R. Coroados 347,Centro,(11) 3646-1176
BURITAMA,UBS III DA FAMILIA JAIME PINTO CUNHA BURITAMA,Rua Joaquim Pereira Rosa 907,Centro,(18) 3691-1658
BURITIZAL,UBS FAMILIA BURITIZAL,RUA JOAQUIM MARTINS 492,CENTRO,(16) 3751-9110
CABRÁLIA PAULISTA,UBS Maria Terezinha Bognar Checheto,Benedito de Almeida Teixeira 525,CENTRO,(14) 9610-4388
CABREUVA,Ambulatorio de Saude Mental,Rua Luis Nunes 26,CENTRO,(11)4529-6153
CAÇAPAVA,PSF Jardim Caçapava,Rua Bolivia 210,Jardim Cacapava,(12) 3655-6874
CAÇAPAVA,PSF Jardim Rafael,R. Antônio Felíciano de Barros 123,Jardim Rafael,(12) 3655-0536
CAÇAPAVA,PSF Nova Caçapava,AV HONORIO FERREIRA PEDROSA 635,NOVA CACAPAVA,(12)3655-0537
CAÇAPAVA,PSF Vila Paraiso,R. José Monteiro da Silva 9,Vila Paraíso,(12) 3655-6685
CACHOEIRA PAULISTA,Programa de Recuperação de Alcoolatras e Drogadictos,Rua 7 de setembro 122,CENTRO,12-31033746
CACONDE,CS II Sebastião Ribeiro do Valle,RUA FLORIANO PEIXOTO 205,CENTRO,(19)3662-7100
CAFELÂNDIA,CS II de Cafelandia,AVN D PEDRO II 115,CENTRO,(14)3554-9111
CAIABU,UNIDADE BASICA DE SAUDE II CAIABU,RUA MARIA CLAUDIA PEDREIRA 136,CENTRO,(18)3285-7004
CAIUÁ,CENTRO DE SAUDE III DE CAIUA,RUA GUARANY 260,CENTRO,(18)3278-1105
CAJURÚ,Ambulatório de Saúde Mental DE CAJURÚ,Rua Dr Matta 247-,Centro,(13)3821-2239
CAMPINAS,Centro de Saúde Dr. Manuel Rios Muraro - Cs Jd Paranapanema,Rua Boaventura Lemos590,Jd Guarani,(19) 3252-7189/3253-6993
CAMPINAS,Centro de Saude San Martin,Rua Paulo de Souza Marquês 242,Vl San Martin,(19) 3249-3989
CAMPINAS,CS Santa Odila,Rua Beato Marcelino Champagnat 187,Vl Joaquim Inácio,(19) 3276-9716/3776-0455
CAMPINAS,CS Barão Geraldo,Rua Albino José Barbosa de Oliveira 183,Barão Geraldo,(19) 3289-9691/8507
CAMPINAS,CS Campo Belo,Rua Milton Pereira de Castro 255,Campo Belo,(19) 3225-6354/3265-3484
CAMPINAS,CS Carlos Gomes,Rua Antonio Inacio Pupo s/nº,Jd Carlos Gomes,(19) 3257-0011/0234
CAMPINAS,CS Carvalho de Moura,Rua Celso Luglio s/nº,Carvalho de Moura,(19) 3229-44013269-7670
CAMPINAS,CS Costa e Silva,Rua Joaquim Macedo s/nº,Santa Genebra,(19) 3208-1018/4060
CAMPINAS,CS Dr Francisco José Monteiro Salles - Pq Valença,Rua Natale Bertucci 20,Pq Valença,(19) 3221-8545/3261-2333
CAMPINAS,CS Dr José Roberto Micolli - Vila União,Rua José Lourenço de Sá 70,Pq Resid Vl União,(19) 3223-2889/3263-3254
CAMPINAS,CS Integração,Rua Zocca 161,Vl Castelo Branco,(19) 3268-1292
CAMPINAS,CS Jardim Capivari,Rua Padre Eustaquio 229,Jd Capivari,(19) 3223-4533
CAMPINAS,CS Jardim Eulina,Rua Martin Luther King  286,Jd Eulina,(19) 3243-0233
CAMPINAS,CS Jd Ipaussurama,Av Marcio Egídio de Souza Aranha 351,Jd Ipaussurama,(19) 3228-6168/3269-2229
CAMPINAS,CS José Inácio Junior (Joaquim Egídio),Rua Heitor Penteado 1225,Joaquim Egídio,(19) 3298-6627/6419/6484
CAMPINAS,CS Padre Anchieta,Av Papa João Prata Vieira s/nº,Vila Padre Anchieta-,(19) 3281-6737
CAMPINAS,CS Parque da Figueira,Rua Jerônimo Tognolo77,PARQUE DA FIGUEIRA,(19) 3277-1481/3238-9484
CAMPINAS,CS Rosalia,Rua Luan Carlos Domingos da Glória15,Rosália,(19) 3282-3111
CAMPINAS,CS Santa Mônica,Rua Olivio Manoel Camargo 297,Jsd Santa Mônica,(19)3246-0801/3246-1072
CAMPINAS,CS Santo Antônio,Rua Pastor João Prata Vieira s/nº,Pq Vista Alegre,(19) 3266-3134
CAMPINAS,CS São Cristóvão,Av Martinho Lutero 121,Jd São Cristovam,(19) 3225-6228/7800
CAMPINAS,CS São José,Av José Carlos do Amaral Galvão 184,Jd São José,(19) 3229-0735/3268-9547
CAMPINAS,CS São Marcos,Av Maria Luiza Pompeo de Camargo 199,Jd Campineiro,(19) 3246-1229/3018
CAMPINAS,CS São Quirino,Av Diogo Álvares  1450 -,Pq São Quirino,(19) 3296-3640
CAMPINAS,CS Taquaral (Cônego Milton Santana),Rua Henrique Schroeder330,Jd Belo Horizonte,(19) 3254-9485/3295-3426
CAMPINAS,CS Vila Rica,Rua Manganês 126,Vila Rica,(19) 3267-6316/3269-4475
CAMPINAS,CS Vila Ypê,Rua Cinira Arruda Valente 1400,Jd das Oliveiras,(19) 3776-0461/3279-2161
CAMPINAS,DIC III,Rua José Cavani nº228 DIC III,RUA JOSE CAIVANI,(19) 3266-9872/3266-8005
CAMPINAS,Hospital -Unicamp,Rua Vital Brasil 251,BARAO GERALDO,(19) 3521-7514
CAMPINAS,CS Boa Esperança,Rua Prof Renê de Oliveira Barreto 440,Jd Boa Esperança,(19)3206-0297
"CAMPINAS,CS Centro "" Mario Campos Bueno Jr"" (CS Centro),Rua Padre Vieira 1145,CENTRO,(19) 32319016/ (19)32367322/(19)32317922"
CAMPINAS,CS Dr Pedro Agápio de Aquino Netto (CS Balão do Laranja),Av. Paulo Provenza Sobrinho 35,Jardim Campos Elíseos,(19) 3229-9865
CAMPOS DO JORDÃO,CAPS I,Trassaburo Yamaguchi160,VILA MATILDE,(12) 3664-5492
CAMPOS DO JORDÃO,CS II,Av Doutor Januário Miráglia 806,Vila Abernéssia,(12) 3662-1600
CAMPOS DO JORDÃO,ESF Vila Nadir,Rua Aldo Astolfi s/nº -,Vila Nadir,(12)3663-0362
CAMPOS DO JORDÃO,ESF Vila Suiça,Rua Inácio Caetano 905 -,Abernéssia,(12) 3663-7366
CAMPOS DO JORDÃO,PSF Vila Santo Antonio,Rua: Egidio Di Biase 20,Vila Santo Antônio,(12) 3664-6352
CAMPOS DO JORDÃO,Sociedade Beneficente Sao Camilo (HOSPITAL LEONOR MENDES DE BARROS),R. Ver. Agripino Lopes de Morães 101,Vila Matilde,(12) 3668-9000
CAMPOS NOVOS PAULISTA,CS DE CAMPOS NOVOS PTA,RUA MARECHAL DEODORO DA FONSECA 721 CEP 04655-000,VILA FILOMENA,(14) 3476 1107
CANDIDO RODRIGUES,CS III Paolina Pivetta Ferreti,RUA BRASLIA 250,Centro,(16)3257-1151
CAPÃO BONITO,UNIDADE PSF VILA SAO PAULO CAPAO BONITO,R Marechal Deodoro 440,Centro,(15) 3542-2554
CAPIVARI,CAPS AD RENASCER CAPIVARI,Rua São João 296,Centro,(19) 3492-5626
CARAGUATATUBA,Ambulatorio Saude Mental,Av Vereador Aristides Anizio dos Santos 196,Indaiá,(12) 3883-1309
CASA BRANCA,Centro de saude,praça dr. antonio barreto n°93,CENTRO,(19) 3674-0244
CASTILHO,CIS Centro Integrado de Saúde - Dr. Serafim Justo,R. José Manoel de Ângelo 582,Castilho,(18) 3741-9600
CATANDUVA,CRI CENTRO DE REABILITACAO INTEGRADO DR FRANCISCO LADEIRA,RUA ARACAJU 285,Vl Pavani,(17)3525-0900
CATANDUVA,UBS ENFERMEIRO DIOMAR JOSE DOS SANTOS GLORIA III,Rua Guariba 913,Pq Gloria III,(17)35241198
CATANDUVA,USF DR NAPOLEAO PELLICANO JARDIM ALPINO,RUA SAO BENTO 40,JARDIM ALPINO,(17)3525-0800
CATANDUVA,USF DR SERGIO BANHOS RESIDENCIAL ANUAR PACHA,AV CRUZEIRO DO SUL305,CONJUNTO RESIDENCIAL,(17)35217374
CATANDUVA,USF DRA ISABEL ETTRURI PARQUE FLAMINGO,Rua Coroados 100,PARQUE FLAMINGO,(17)35250415
CATIGUÁ,UNIDADE BASICA DE SAUDE HELIO REIS RAMIRES,Av Homero Araujo -,Centro,(17) 3564-1298
CERQUILHO,CAPS - AMBULATORIO DE SAUDE MENTAL,Rua Sinha Moca 306,Centro,(15) 3288-4110
CLEMENTINA,CS III de Clementina,Rua Culto á Ciência 15,CENTRO,(18) 3658-1142
CONCHAL,CENTRO MEDICO DR NELSON SALOME,R. Minas Gerais 179-341,Industrial,(19) 3866-8666
CONCHAS,Ambulatório Médico Especialidades,Rua José Miranda do Amaral 149,Centro,(14) 3845-2360
CORDEIRÓPOLIS,ESF DALCY DE CAMPOS TOLEDO,Rua Toledo Barros,Centro,(19) 3546-9431
CORUMBATAÍ,UBS ANDRE GIMENE CORUMBATAI,RUA 4 A SN,JARDIM RESIDENCIAL DA COLINA,(19) 3577-1414
COSMOPOLIS,CS Integrado Campos Salles,Av da Saudade 1121,Campos Salles,(19)38723091
COSMORAMA,USF Geraldo Otavio Rodriguês,Rua Helena Alves Garcia 792,Vila Honorio,(17 )3836-1822
CRISTAIS PAULISTA,Estrategia Saude da Familia-ESF,Rua Sebastião Rodrigues Souza 155,CENTRO,(11)3133-1287
